label files factor rep
GV_rep1 GSM1861606_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt GV 1
GV_rep2 GSM1861607_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt GV 2
MI_rep1 GSM1861608_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt MI 1
MI_rep2 GSM1861609_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt MI 2
MII_rep1 GSM1861610_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt MII 1
MII_rep2 GSM1861611_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt MII 2
PN_rep1 GSM1861612_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt PN 1
PN_rep2 GSM1861613_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt PN 2
CL_rep1 GSM1861614_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt CL 1
CL_rep2 GSM1861615_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt CL 2
MOR_rep1 GSM1861616_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt MOR 1
MOR_rep2 GSM1861617_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt MOR 2
ICM_rep1 GSM1861618_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt ICM 1
ICM_rep2 GSM1861619_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt ICM 2
TROPH_rep1 GSM1861620_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TROPH 1
TROPH_rep2 GSM1861621_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TROPH 2
